"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","68nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","LED","","","","LED_THT:LED_D3.0mm_IRGrey","~"
"J1","1","Audio Out","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal","~"
"J2","1","GPIO","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-10P_1x10_P2.54mm_Horizontal","~"
"J3","1","Conn_01x02","","","","Connector_Wire:SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm","~"
"oled128x1","1","~","","","","oled128x64_spi:oled128x64_spi",""
"R1,R2,R3,R4","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6","1","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R7","1","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"S1,S2","2","PEC11R-4220F-S0024","","","","rotary_encoder:XDCR_PEC11R-4220F-S0024",""
"U1","1","ESP32-S3-DevKitC","","","","PCM_Espressif:ESP32-S3-DevKitC",""
"U2","1","pcm5122module","","","","audio_boards:pcm5122_module",""
